sku_id,historical_avg_sales,historical_std_sales,historical_max_sales,last_processed_date,rmse,mape,wape,accuracy,final_forecast_model_type,tuned_prophet_rmse,tuned_prophet_mape,tuned_prophet_wape,tuned_prophet_accuracy,lstm_rmse,lstm_mape,lstm_wape,lstm_accuracy,xgboost_rmse,xgboost_mape,xgboost_wape,xgboost_accuracy,top_features,top_importances,avg_lead_time,lead_time_demand,safety_stock,reorder_point,validated_eoq,holding_cost,ordering_cost,forecast_next_1_month,forecast_next_3_months,forecast_next_6_months,forecast_ci_width_1_month,forecast_ci_width_3_months
PD0434,24.5358361774744,19.190638389656083,76.0,2025-05-28,16.84857078014968,43.51016262365469,38.47618194119485,61.52381805880515,Ensemble,17.253213900203427,48.06050592215069,40.14270152266064,59.85729847733936,18.09770409524205,44.4018235622784,39.4068811396262,60.5931188603738,17.053843589699795,40.75601533482895,38.21327388858612,61.78672611141389,"['sales_lag_1d', 'rolling_avg_sales_7d', 'discount_percentage', 'rolling_std_sales_7d', 'sales_lag_14d']","[0.2451574057340622, 0.2429424375295639, 0.07719138264656067, 0.05134355276823044, 0.05124290660023689]",21,548,145,693,239,"1,427,796.75",449.52,781.1077359702037,2351.603605474701,4777.484567101328,34.35211527286681,34.44862586728588
BR0289,1.0,0.0,1.0,2025-05-17,4.999999418366863e-11,4.231108426585213e-09,4.231108426585213e-09,99.99999999576887,Ensemble,0.0,0.0,0.0,100.0,0.0016866920217775,0.14273156838802,0.14273156838802,99.85726843161198,0.0,0.0,0.0,100.0,"['store_count', 'was_stocked_out', 'day_of_week_sin', 'day_of_week_cos', 'month_sin']","[0.0, 0.0, 0.0, 0.0, 0.0]",21,21,0,21,47,"106,093.64",872.00,30.00000000041888,90.00000000104481,183.00000000349635,2.5781083379250447e-09,2.942740269980722e-09
ER01357,1.0,0.0,1.0,2025-05-11,5.0000002959467055e-11,4.2119741028301405e-09,4.2119741028301405e-09,99.99999999578804,Ensemble,0.0,0.0,0.0,100.0,0.0064345320500686,0.5420417563679318,0.5420417563679318,99.45795824363206,0.0,0.0,0.0,100.0,"['store_count', 'was_stocked_out', 'day_of_week_sin', 'day_of_week_cos', 'month_sin']","[0.0, 0.0, 0.0, 0.0, 0.0]",21,21,0,21,47,"106,518.10",875.49,30.00000000065356,90.00000000021245,182.9999999982072,2.596435270489176e-09,2.981716788289882e-09
ER0619,1.3253424657534247,0.5337903681540312,3.5,2025-05-25,0.0143990678595127,1.2294403237041351,1.2294403237041351,98.77055967629586,Ensemble,0.1467211338180906,12.049717078803864,12.049717078803864,87.95028292119613,0.1227231331910426,10.245851170271637,10.245851170271637,89.75414882972836,0.0077447727107722,0.4493180910746256,0.4493180910746256,99.55068190892536,"['sales_lag_1d', 'sales_lag_7d', 'discount_percentage', 'rolling_avg_sales_7d', 'rolling_std_sales_7d']","[0.7449144124984741, 0.046236224472522736, 0.030114874243736267, 0.0276523195207119, 0.022560734301805496]",21,21,4,25,47,"93,417.67",758.69,30.20856520143111,89.29314068198607,185.20164239316352,0.9453056149965008,0.944068384349826
BR0112,5.210466439135381,3.4099991126422085,13.0,2025-05-28,3.788510234659146,83.43657407436582,53.1982568455566,46.8017431544434,Ensemble,3.730384830485349,90.2091034427708,54.524038331633264,45.475961668366736,3.891920741323746,83.41085122970165,54.02917579959276,45.97082420040724,4.083430554592767,87.50243365754913,58.01079885094567,41.98920114905433,"['is_on_promotion', 'sales_lag_1d', 'discount_percentage', 'rolling_avg_sales_7d', 'rolling_std_sales_7d']","[0.39969566464424133, 0.13273006677627563, 0.0646464079618454, 0.05520249903202057, 0.043494559824466705]",21,99,26,125,102,"282,814.57",491.29,138.8188411532125,437.1916362439515,865.8463710114656,7.470561127386151,7.479571699854579
ER0190,1.4911731207289294,0.7155097467231334,3.5,2025-05-27,0.667650656394737,37.638686563775394,33.939268104258694,66.0607318957413,Ensemble,0.772876866204605,43.01799054289899,39.11906470461891,60.88093529538109,1.0706321756813484,71.46422333970214,57.76007772001446,42.23992227998554,0.523791360197987,20.291705988702315,21.265395482381187,78.7346045176188,"['sales_lag_1d', 'is_on_promotion', 'discount_percentage', 'rolling_std_sales_7d', 'day_of_week_cos']","[0.4277292490005493, 0.12447811663150787, 0.07166164368391037, 0.0491243414580822, 0.042203206568956375]",21,30,5,35,56,"81,284.65",467.61,41.67838717755217,126.54547590103746,261.4607269417871,1.4369234994986877,1.4433109191448694
ER0708,2.35250569476082,1.3814436630212523,6.0,2025-05-27,1.470543518049578,49.196146777727,41.93008041273262,58.06991958726738,Ensemble,1.6873129124997983,58.98264826414012,50.79546015285055,49.204539847149455,1.7429261663070053,66.79013287524381,52.47347994435648,47.52652005564352,1.3134972186157443,36.76936529742347,34.694373015291205,65.3056269847088,"['is_on_promotion', 'sales_lag_1d', 'discount_percentage', 'day_of_week_cos', 'store_count']","[0.255007266998291, 0.15630881488323212, 0.09006322920322418, 0.06198104843497276, 0.055000849068164825]",21,44,10,55,68,"170,066.90",660.24,59.355161134886416,186.8040358065214,387.4347916371328,3.1467290858509736,3.155332030932373
AVR054,1.0,0.0,1.0,2025-04-17,4.9999904732713205e-11,4.067262822834057e-09,4.067262822834057e-09,99.99999999593274,Ensemble,0.0,0.0,0.0,100.0,0.0026331914491151,0.2141979835384214,0.2141979835384214,99.78580201646156,0.0,0.0,0.0,100.0,"['store_count', 'was_stocked_out', 'day_of_week_sin', 'day_of_week_cos', 'month_sin']","[0.0, 0.0, 0.0, 0.0, 0.0]",21,21,0,21,47,"43,461.90",357.22,30.00000000185146,90.00000000092496,183.0000000009012,2.5880947422211403e-09,3.013906690885193e-09
PD0632,1.0,0.0,1.0,2024-02-11,4.999993021737109e-11,4.448275451688725e-09,4.448275451688725e-09,99.99999999555172,Ensemble,0.0,0.0,0.0,100.0,0.0071664434921637,0.6375671541900374,0.6375671541900374,99.36243284580996,0.0,0.0,0.0,100.0,"['store_count', 'was_stocked_out', 'day_of_week_sin', 'day_of_week_cos', 'month_sin']","[0.0, 0.0, 0.0, 0.0, 0.0]",21,21,0,21,47,"54,308.77",446.37,29.99999999972527,89.9999999996993,182.99999999790344,2.739385144649257e-09,5.165731310609169e-09
R0458,1.259090909090909,0.4574452315209398,3.5,2023-11-26,0.4741354360931991,42.47051758419653,41.68983578401201,58.31016421598799,Ensemble,0.720467136068859,69.25535938513086,67.65778806521784,32.34221193478216,0.4143103168677214,34.217681381851435,33.449376431947684,66.55062356805232,0.5465014766770472,33.54854981104533,33.34950994937977,66.65049005062022,"['sales_lag_1d', 'discount_percentage', 'rolling_std_sales_7d', 'rolling_avg_sales_7d', 'is_month_end']","[0.47006916999816895, 0.08717828243970871, 0.0848902240395546, 0.0514381043612957, 0.04839125648140907]",21,22,3,26,48,"82,877.82",642.18,25.60474198244868,83.06861106798146,194.11552201535164,0.812403263573479,0.8164163570453983
